species,island,bill_length_mm,flipper_length_mm,body_mass_g,sex,,bill_depth_mm
Adelie,Torgersen,39.1,181,3750,male,0,18.7
Adelie,Torgersen,39.5,186,3800,female,1,17.4
Adelie,Torgersen,40.3,195,3250,female,2,18
Adelie,Torgersen,36.7,193,3450,female,3,19.3
Adelie,Torgersen,39.3,190,3650,male,4,20.6
Adelie,Torgersen,38.9,181,3625,female,5,17.8
Adelie,Torgersen,39.2,195,4675,male,6,19.6
Adelie,Torgersen,41.1,182,3200,female,7,17.6
Adelie,Torgersen,38.6,191,3800,male,8,21.2
Adelie,Torgersen,34.6,198,4400,male,9,21.1
Adelie,Torgersen,36.6,185,3700,female,10,17.8
Adelie,Torgersen,38.7,195,3450,female,11,19
Adelie,Torgersen,42.5,197,4500,male,12,20.7
Adelie,Torgersen,34.4,184,3325,female,13,18.4
Adelie,Torgersen,46,194,4200,male,14,21.5
Adelie,Biscoe,37.8,174,3400,female,15,18.3
Adelie,Biscoe,37.7,180,3600,male,16,18.7
Adelie,Biscoe,35.9,189,3800,female,17,19.2
Adelie,Biscoe,38.2,185,3950,male,18,18.1
Adelie,Biscoe,38.8,180,3800,male,19,17.2
Adelie,Biscoe,35.3,187,3800,female,20,18.9
Adelie,Biscoe,40.6,183,3550,male,21,18.6
Adelie,Biscoe,40.5,187,3200,female,22,17.9
Adelie,Biscoe,37.9,172,3150,female,23,18.6
Adelie,Biscoe,40.5,180,3950,male,24,18.9
Adelie,Dream,39.5,178,3250,female,25,16.7
Adelie,Dream,37.2,178,3900,male,26,18.1
Adelie,Dream,39.5,188,3300,female,27,17.8
Adelie,Dream,40.9,184,3900,male,28,18.9
Adelie,Dream,36.4,195,3325,female,29,17
Adelie,Dream,39.2,196,4150,male,30,21.1
Adelie,Dream,38.8,190,3950,male,31,20
Adelie,Dream,42.2,180,3550,female,32,18.5
Adelie,Dream,37.6,181,3300,female,33,19.3
Adelie,Dream,39.8,184,4650,male,34,19.1
Adelie,Dream,36.5,182,3150,female,35,18
Adelie,Dream,40.8,195,3900,male,36,18.4
Adelie,Dream,36,186,3100,female,37,18.5
Adelie,Dream,44.1,196,4400,male,38,19.7
Adelie,Dream,37,185,3000,female,39,16.9
Adelie,Dream,39.6,190,4600,male,40,18.8
Adelie,Dream,41.1,182,3425,male,41,19
Adelie,Dream,36,190,3450,female,42,17.9
Adelie,Dream,42.3,191,4150,male,43,21.2
Adelie,Biscoe,39.6,186,3500,female,44,17.7
Adelie,Biscoe,40.1,188,4300,male,45,18.9
Adelie,Biscoe,35,190,3450,female,46,17.9
Adelie,Biscoe,42,200,4050,male,47,19.5
Adelie,Biscoe,34.5,187,2900,female,48,18.1
Adelie,Biscoe,41.4,191,3700,male,49,18.6
Adelie,Biscoe,39,186,3550,female,50,17.5
Adelie,Biscoe,40.6,193,3800,male,51,18.8
Adelie,Biscoe,36.5,181,2850,female,52,16.6
Adelie,Biscoe,37.6,194,3750,male,53,19.1
Adelie,Biscoe,35.7,185,3150,female,54,16.9
Adelie,Biscoe,41.3,195,4400,male,55,21.1
Adelie,Biscoe,37.6,185,3600,female,56,17
Adelie,Biscoe,41.1,192,4050,male,57,18.2
Adelie,Biscoe,36.4,184,2850,female,58,17.1
Adelie,Biscoe,41.6,192,3950,male,59,18
Adelie,Biscoe,35.5,195,3350,female,60,16.2
Adelie,Biscoe,41.1,188,4100,male,61,19.1
Adelie,Torgersen,35.9,190,3050,female,62,16.6
Adelie,Torgersen,41.8,198,4450,male,63,19.4
Adelie,Torgersen,33.5,190,3600,female,64,19
Adelie,Torgersen,39.7,190,3900,male,65,18.4
Adelie,Torgersen,39.6,196,3550,female,66,17.2
Adelie,Torgersen,45.8,197,4150,male,67,18.9
Adelie,Torgersen,35.5,190,3700,female,68,17.5
Adelie,Torgersen,42.8,195,4250,male,69,18.5
Adelie,Torgersen,40.9,191,3700,female,70,16.8
Adelie,Torgersen,37.2,184,3900,male,71,19.4
Adelie,Torgersen,36.2,187,3550,female,72,16.1
Adelie,Torgersen,42.1,195,4000,male,73,19.1
Adelie,Torgersen,34.6,189,3200,female,74,17.2
Adelie,Torgersen,42.9,196,4700,male,75,17.6
Adelie,Torgersen,36.7,187,3800,female,76,18.8
Adelie,Torgersen,35.1,193,4200,male,77,19.4
Adelie,Dream,37.3,191,3350,female,78,17.8
Adelie,Dream,41.3,194,3550,male,79,20.3
Adelie,Dream,36.3,190,3800,male,80,19.5
Adelie,Dream,36.9,189,3500,female,81,18.6
Adelie,Dream,38.3,189,3950,male,82,19.2
Adelie,Dream,38.9,190,3600,female,83,18.8
Adelie,Dream,35.7,202,3550,female,84,18
Adelie,Dream,41.1,205,4300,male,85,18.1
Adelie,Dream,34,185,3400,female,86,17.1
Adelie,Dream,39.6,186,4450,male,87,18.1
Adelie,Dream,36.2,187,3300,female,88,17.3
Adelie,Dream,40.8,208,4300,male,89,18.9
Adelie,Dream,38.1,190,3700,female,90,18.6
Adelie,Dream,40.3,196,4350,male,91,18.5
Adelie,Dream,33.1,178,2900,female,92,16.1
Adelie,Dream,43.2,192,4100,male,93,18.5
Adelie,Biscoe,35,192,3725,female,94,17.9
Adelie,Biscoe,41,203,4725,male,95,20
Adelie,Biscoe,37.7,183,3075,female,96,16
Adelie,Biscoe,37.8,190,4250,male,97,20
Adelie,Biscoe,37.9,193,2925,female,98,18.6
Adelie,Biscoe,39.7,184,3550,male,99,18.9
Adelie,Biscoe,38.6,199,3750,female,100,17.2
Adelie,Biscoe,38.2,190,3900,male,101,20
Adelie,Biscoe,38.1,181,3175,female,102,17
Adelie,Biscoe,43.2,197,4775,male,103,19
Adelie,Biscoe,38.1,198,3825,female,104,16.5
Adelie,Biscoe,45.6,191,4600,male,105,20.3
Adelie,Biscoe,39.7,193,3200,female,106,17.7
Adelie,Biscoe,42.2,197,4275,male,107,19.5
Adelie,Biscoe,39.6,191,3900,female,108,20.7
Adelie,Biscoe,42.7,196,4075,male,109,18.3
Adelie,Torgersen,38.6,188,2900,female,110,17
Adelie,Torgersen,37.3,199,3775,male,111,20.5
Adelie,Torgersen,35.7,189,3350,female,112,17
Adelie,Torgersen,41.1,189,3325,male,113,18.6
Adelie,Torgersen,36.2,187,3150,female,114,17.2
Adelie,Torgersen,37.7,198,3500,male,115,19.8
Adelie,Torgersen,40.2,176,3450,female,116,17
Adelie,Torgersen,41.4,202,3875,male,117,18.5
Adelie,Torgersen,35.2,186,3050,female,118,15.9
Adelie,Torgersen,40.6,199,4000,male,119,19
Adelie,Torgersen,38.8,191,3275,female,120,17.6
Adelie,Torgersen,41.5,195,4300,male,121,18.3
Adelie,Torgersen,39,191,3050,female,122,17.1
Adelie,Torgersen,44.1,210,4000,male,123,18
Adelie,Torgersen,38.5,190,3325,female,124,17.9
Adelie,Torgersen,43.1,197,3500,male,125,19.2
Adelie,Dream,36.8,193,3500,female,126,18.5
Adelie,Dream,37.5,199,4475,male,127,18.5
Adelie,Dream,38.1,187,3425,female,128,17.6
Adelie,Dream,41.1,190,3900,male,129,17.5
Adelie,Dream,35.6,191,3175,female,130,17.5
Adelie,Dream,40.2,200,3975,male,131,20.1
Adelie,Dream,37,185,3400,female,132,16.5
Adelie,Dream,39.7,193,4250,male,133,17.9
Adelie,Dream,40.2,193,3400,female,134,17.1
Adelie,Dream,40.6,187,3475,male,135,17.2
Adelie,Dream,32.1,188,3050,female,136,15.5
Adelie,Dream,40.7,190,3725,male,137,17
Adelie,Dream,37.3,192,3000,female,138,16.8
Adelie,Dream,39,185,3650,male,139,18.7
Adelie,Dream,39.2,190,4250,male,140,18.6
Adelie,Dream,36.6,184,3475,female,141,18.4
Adelie,Dream,36,195,3450,female,142,17.8
Adelie,Dream,37.8,193,3750,male,143,18.1
Adelie,Dream,36,187,3700,female,144,17.1
Adelie,Dream,41.5,201,4000,male,145,18.5
Gentoo,Biscoe,46.1,211,4500,female,146,13.2
Gentoo,Biscoe,50,230,5700,male,147,16.3
Gentoo,Biscoe,48.7,210,4450,female,148,14.1
Gentoo,Biscoe,50,218,5700,male,149,15.2
Gentoo,Biscoe,47.6,215,5400,male,150,14.5
Gentoo,Biscoe,46.5,210,4550,female,151,13.5
Gentoo,Biscoe,45.4,211,4800,female,152,14.6
Gentoo,Biscoe,46.7,219,5200,male,153,15.3
Gentoo,Biscoe,43.3,209,4400,female,154,13.4
Gentoo,Biscoe,46.8,215,5150,male,155,15.4
Gentoo,Biscoe,40.9,214,4650,female,156,13.7
Gentoo,Biscoe,49,216,5550,male,157,16.1
Gentoo,Biscoe,45.5,214,4650,female,158,13.7
Gentoo,Biscoe,48.4,213,5850,male,159,14.6
Gentoo,Biscoe,45.8,210,4200,female,160,14.6
Gentoo,Biscoe,49.3,217,5850,male,161,15.7
Gentoo,Biscoe,42,210,4150,female,162,13.5
Gentoo,Biscoe,49.2,221,6300,male,163,15.2
Gentoo,Biscoe,46.2,209,4800,female,164,14.5
Gentoo,Biscoe,48.7,222,5350,male,165,15.1
Gentoo,Biscoe,50.2,218,5700,male,166,14.3
Gentoo,Biscoe,45.1,215,5000,female,167,14.5
Gentoo,Biscoe,46.5,213,4400,female,168,14.5
Gentoo,Biscoe,46.3,215,5050,male,169,15.8
Gentoo,Biscoe,42.9,215,5000,female,170,13.1
Gentoo,Biscoe,46.1,215,5100,male,171,15.1
Gentoo,Biscoe,47.8,215,5650,male,172,15
Gentoo,Biscoe,48.2,210,4600,female,173,14.3
Gentoo,Biscoe,50,220,5550,male,174,15.3
Gentoo,Biscoe,47.3,222,5250,male,175,15.3
Gentoo,Biscoe,42.8,209,4700,female,176,14.2
Gentoo,Biscoe,45.1,207,5050,female,177,14.5
Gentoo,Biscoe,59.6,230,6050,male,178,17
Gentoo,Biscoe,49.1,220,5150,female,179,14.8
Gentoo,Biscoe,48.4,220,5400,male,180,16.3
Gentoo,Biscoe,42.6,213,4950,female,181,13.7
Gentoo,Biscoe,44.4,219,5250,male,182,17.3
Gentoo,Biscoe,44,208,4350,female,183,13.6
Gentoo,Biscoe,48.7,208,5350,male,184,15.7
Gentoo,Biscoe,42.7,208,3950,female,185,13.7
Gentoo,Biscoe,49.6,225,5700,male,186,16
Gentoo,Biscoe,45.3,210,4300,female,187,13.7
Gentoo,Biscoe,49.6,216,4750,male,188,15
Gentoo,Biscoe,50.5,222,5550,male,189,15.9
Gentoo,Biscoe,43.6,217,4900,female,190,13.9
Gentoo,Biscoe,45.5,210,4200,female,191,13.9
Gentoo,Biscoe,50.5,225,5400,male,192,15.9
Gentoo,Biscoe,44.9,213,5100,female,193,13.3
Gentoo,Biscoe,45.2,215,5300,male,194,15.8
Gentoo,Biscoe,46.6,210,4850,female,195,14.2
Gentoo,Biscoe,48.5,220,5300,male,196,14.1
Gentoo,Biscoe,45.1,210,4400,female,197,14.4
Gentoo,Biscoe,50.1,225,5000,male,198,15
Gentoo,Biscoe,46.5,217,4900,female,199,14.4
Gentoo,Biscoe,45,220,5050,male,200,15.4
Gentoo,Biscoe,43.8,208,4300,female,201,13.9
Gentoo,Biscoe,45.5,220,5000,male,202,15
Gentoo,Biscoe,43.2,208,4450,female,203,14.5
Gentoo,Biscoe,50.4,224,5550,male,204,15.3
Gentoo,Biscoe,45.3,208,4200,female,205,13.8
Gentoo,Biscoe,46.2,221,5300,male,206,14.9
Gentoo,Biscoe,45.7,214,4400,female,207,13.9
Gentoo,Biscoe,54.3,231,5650,male,208,15.7
Gentoo,Biscoe,45.8,219,4700,female,209,14.2
Gentoo,Biscoe,49.8,230,5700,male,210,16.8
Gentoo,Biscoe,49.5,229,5800,male,211,16.2
Gentoo,Biscoe,43.5,220,4700,female,212,14.2
Gentoo,Biscoe,50.7,223,5550,male,213,15
Gentoo,Biscoe,47.7,216,4750,female,214,15
Gentoo,Biscoe,46.4,221,5000,male,215,15.6
Gentoo,Biscoe,48.2,221,5100,male,216,15.6
Gentoo,Biscoe,46.5,217,5200,female,217,14.8
Gentoo,Biscoe,46.4,216,4700,female,218,15
Gentoo,Biscoe,48.6,230,5800,male,219,16
Gentoo,Biscoe,47.5,209,4600,female,220,14.2
Gentoo,Biscoe,51.1,220,6000,male,221,16.3
Gentoo,Biscoe,45.2,215,4750,female,222,13.8
Gentoo,Biscoe,45.2,223,5950,male,223,16.4
Gentoo,Biscoe,49.1,212,4625,female,224,14.5
Gentoo,Biscoe,52.5,221,5450,male,225,15.6
Gentoo,Biscoe,47.4,212,4725,female,226,14.6
Gentoo,Biscoe,50,224,5350,male,227,15.9
Gentoo,Biscoe,44.9,212,4750,female,228,13.8
Gentoo,Biscoe,50.8,228,5600,male,229,17.3
Gentoo,Biscoe,43.4,218,4600,female,230,14.4
Gentoo,Biscoe,51.3,218,5300,male,231,14.2
Gentoo,Biscoe,47.5,212,4875,female,232,14
Gentoo,Biscoe,52.1,230,5550,male,233,17
Gentoo,Biscoe,47.5,218,4950,female,234,15
Gentoo,Biscoe,52.2,228,5400,male,235,17.1
Gentoo,Biscoe,45.5,212,4750,female,236,14.5
Gentoo,Biscoe,49.5,224,5650,male,237,16.1
Gentoo,Biscoe,44.5,214,4850,female,238,14.7
Gentoo,Biscoe,50.8,226,5200,male,239,15.7
Gentoo,Biscoe,49.4,216,4925,male,240,15.8
Gentoo,Biscoe,46.9,222,4875,female,241,14.6
Gentoo,Biscoe,48.4,203,4625,female,242,14.4
Gentoo,Biscoe,51.1,225,5250,male,243,16.5
Gentoo,Biscoe,48.5,219,4850,female,244,15
Gentoo,Biscoe,55.9,228,5600,male,245,17
Gentoo,Biscoe,47.2,215,4975,female,246,15.5
Gentoo,Biscoe,49.1,228,5500,male,247,15
Gentoo,Biscoe,46.8,215,5500,male,248,16.1
Gentoo,Biscoe,41.7,210,4700,female,249,14.7
Gentoo,Biscoe,53.4,219,5500,male,250,15.8
Gentoo,Biscoe,43.3,208,4575,female,251,14
Gentoo,Biscoe,48.1,209,5500,male,252,15.1
Gentoo,Biscoe,50.5,216,5000,female,253,15.2
Gentoo,Biscoe,49.8,229,5950,male,254,15.9
Gentoo,Biscoe,43.5,213,4650,female,255,15.2
Gentoo,Biscoe,51.5,230,5500,male,256,16.3
Gentoo,Biscoe,46.2,217,4375,female,257,14.1
Gentoo,Biscoe,55.1,230,5850,male,258,16
Gentoo,Biscoe,48.8,222,6000,male,259,16.2
Gentoo,Biscoe,47.2,214,4925,female,260,13.7
Gentoo,Biscoe,46.8,215,4850,female,261,14.3
Gentoo,Biscoe,50.4,222,5750,male,262,15.7
Gentoo,Biscoe,45.2,212,5200,female,263,14.8
Gentoo,Biscoe,49.9,213,5400,male,264,16.1
Chinstrap,Dream,46.5,192,3500,female,265,17.9
Chinstrap,Dream,50,196,3900,male,266,19.5
Chinstrap,Dream,51.3,193,3650,male,267,19.2
Chinstrap,Dream,45.4,188,3525,female,268,18.7
Chinstrap,Dream,52.7,197,3725,male,269,19.8
Chinstrap,Dream,45.2,198,3950,female,270,17.8
Chinstrap,Dream,46.1,178,3250,female,271,18.2
Chinstrap,Dream,51.3,197,3750,male,272,18.2
Chinstrap,Dream,46,195,4150,female,273,18.9
Chinstrap,Dream,51.3,198,3700,male,274,19.9
Chinstrap,Dream,46.6,193,3800,female,275,17.8
Chinstrap,Dream,51.7,194,3775,male,276,20.3
Chinstrap,Dream,47,185,3700,female,277,17.3
Chinstrap,Dream,52,201,4050,male,278,18.1
Chinstrap,Dream,45.9,190,3575,female,279,17.1
Chinstrap,Dream,50.5,201,4050,male,280,19.6
Chinstrap,Dream,50.3,197,3300,male,281,20
Chinstrap,Dream,58,181,3700,female,282,17.8
Chinstrap,Dream,46.4,190,3450,female,283,18.6
Chinstrap,Dream,49.2,195,4400,male,284,18.2
Chinstrap,Dream,42.4,181,3600,female,285,17.3
Chinstrap,Dream,48.5,191,3400,male,286,17.5
Chinstrap,Dream,43.2,187,2900,female,287,16.6
Chinstrap,Dream,50.6,193,3800,male,288,19.4
Chinstrap,Dream,46.7,195,3300,female,289,17.9
Chinstrap,Dream,52,197,4150,male,290,19
Chinstrap,Dream,50.5,200,3400,female,291,18.4
Chinstrap,Dream,49.5,200,3800,male,292,19
Chinstrap,Dream,46.4,191,3700,female,293,17.8
Chinstrap,Dream,52.8,205,4550,male,294,20
Chinstrap,Dream,40.9,187,3200,female,295,16.6
Chinstrap,Dream,54.2,201,4300,male,296,20.8
Chinstrap,Dream,42.5,187,3350,female,297,16.7
Chinstrap,Dream,51,203,4100,male,298,18.8
Chinstrap,Dream,49.7,195,3600,male,299,18.6
Chinstrap,Dream,47.5,199,3900,female,300,16.8
Chinstrap,Dream,47.6,195,3850,female,301,18.3
Chinstrap,Dream,52,210,4800,male,302,20.7
Chinstrap,Dream,46.9,192,2700,female,303,16.6
Chinstrap,Dream,53.5,205,4500,male,304,19.9
Chinstrap,Dream,49,210,3950,male,305,19.5
Chinstrap,Dream,46.2,187,3650,female,306,17.5
Chinstrap,Dream,50.9,196,3550,male,307,19.1
Chinstrap,Dream,45.5,196,3500,female,308,17
Chinstrap,Dream,50.9,196,3675,female,309,17.9
Chinstrap,Dream,50.8,201,4450,male,310,18.5
Chinstrap,Dream,50.1,190,3400,female,311,17.9
Chinstrap,Dream,49,212,4300,male,312,19.6
Chinstrap,Dream,51.5,187,3250,male,313,18.7
Chinstrap,Dream,49.8,198,3675,female,314,17.3
Chinstrap,Dream,48.1,199,3325,female,315,16.4
Chinstrap,Dream,51.4,201,3950,male,316,19
Chinstrap,Dream,45.7,193,3600,female,317,17.3
Chinstrap,Dream,50.7,203,4050,male,318,19.7
Chinstrap,Dream,42.5,187,3350,female,319,17.3
Chinstrap,Dream,52.2,197,3450,male,320,18.8
Chinstrap,Dream,45.2,191,3250,female,321,16.6
Chinstrap,Dream,49.3,203,4050,male,322,19.9
Chinstrap,Dream,50.2,202,3800,male,323,18.8
Chinstrap,Dream,45.6,194,3525,female,324,19.4
Chinstrap,Dream,51.9,206,3950,male,325,19.5
Chinstrap,Dream,46.8,189,3650,female,326,16.5
Chinstrap,Dream,45.7,195,3650,female,327,17
Chinstrap,Dream,55.8,207,4000,male,328,19.8
Chinstrap,Dream,43.5,202,3400,female,329,18.1
Chinstrap,Dream,49.6,193,3775,male,330,18.2
Chinstrap,Dream,50.8,210,4100,male,331,19
Chinstrap,Dream,50.2,198,3775,female,332,18.7
